what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301118456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301135449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301135494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301137472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301137511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1433301152601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301161787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301163061
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1433301163945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301167713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301167722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301169066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301180296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301183562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301189200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301199178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301207799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301215154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301231483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301232509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301329235
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1433301330707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301340853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301343208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301343311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301344514
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1433301345255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301348751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301348757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301350059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301355805
activated,view,org.testng.eclipse,6.9.5.201505260426,"org.testng.eclipse.ResultView",1433301358391
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1433301358479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301366360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301417834
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1433301419901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301421163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301430412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433301437906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301439317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301732520
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1433301734730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301753506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301764092
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1433301764186
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1433301764215
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1433301765162
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1433301765187
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1433301767160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433301773104
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1433301774285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433301775287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1433301817727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1433301822386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1433301830813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433301840056
